keyword,old_relevance,new_relevance,reason
Desktop: session record lost — clicking the chat opens a NEW empty session that inherits its title and a different cwd,0,2,"pain quote, content signal not query"
Resume sessions with their previously used model and reasoning effort,0,2,"pain quote, content signal not query"
[BUG] Session read/unread state is per-device: reading a session on mobile does not clear it on desktop (or vice versa),0,2,"pain quote, content signal not query"
"Desktop: resuming a completed scheduled-task session (hosted on another machine) shows ""Remote Control disconnected"" after a long wait — no read-only state, no session-type indicator",0,2,"pain quote, content signal not query"
[FEATURE] Let a parent session observe its spawned children — return a session id from spawn_task and/or expose spawnedBy lineage in list_sessions,0,2,"pain quote, content signal not query"
"[BUG] Opus 4.8 fabricates tool executions and phantom user requests in a short session (no compaction, no interruption)",0,2,"pain quote, content signal not query"
Claude Opus 4.6 uses impression management to deceive users — reports Grep as Read,0,2,"pain quote, content signal not query"
"I am so very tired. 45% of Fable, 47% of total in one day implementing PM tools to stop the sprawl and keep this thing on task",0,2,"pain quote, content signal not query"
"Launching from a subdirectory silently loads ZERO project hooks — root .claude/settings.json is never read (no walk-up, no warning)",0,2,"pain quote, content signal not query"
[Bug] Cross-session credential leakage: production database modified on unauthorized host,0,2,"pain quote, content signal not query"
"Quality regression: destructive actions on system without confirmation (SSH, panel restart loops)",0,2,"pain quote, content signal not query"
[BUG] UserPromptSubmit hook rejection reason never displayed (Desktop + VS Code),0,2,"pain quote, content signal not query"
[Feature Request] Reduce response verbosity to match Cursor's conciseness,0,2,"pain quote, content signal not query"
"[FEATURE] - Configurable Discovery Paths for Skills, Workflows, and Agents",0,2,"pain quote, content signal not query"
[BUG] Web session on a fork can't read upstream's public issues via the repo-scoped API; suggested add_repo refuses cross-owner adds,0,2,"pain quote, content signal not query"
"[BUG] Workflow tool resolves agent({agentType}) against the session cwd's project registry, not the workflow script's own repo",0,2,"pain quote, content signal not query"
[FEATURE] Desktop: derive the session project tag from the folder name (or make it configurable) — multiple clones of one repo look identical,0,2,"pain quote, content signal not query"
/resume project-scoped picker merges whole session dirs of unrelated projects into discovery (2.1.220),0,2,"pain quote, content signal not query"
"Opus 4.6 Max 20x: systematic hallucinations, rule violations, 80% weekly usage wasted — April 2026",0,2,"pain quote, content signal not query"
The cost of non-compliance: a paying customer's documentation of systemic model failures,0,2,"pain quote, content signal not query"
Zero Anthropic staff engagement on 13 documented model failures from a paying customer,0,2,"pain quote, content signal not query"
"[MODEL] Opus 4.8: forced balance-slot criticism, critique-for-its-own-sake baked into initial CoT, and attention-driven context collapse — plus a 71-issue failure inventory",0,2,"pain quote, content signal not query"
[FEATURE] Static-analysis RAG primitive: pre-prompt repo graph injection cuts first-turn tokens 40.9% on live A/B,0,2,"pain quote, content signal not query"
"[Bug] Model ignores verbatim antipatterns in loaded skills, rationalizes past prose guardrails",0,2,"pain quote, content signal not query"
Codex CLI marks turn complete while follow-up is still needed after progress message,0,2,"pain quote, content signal not query"
"This means its changes will either be out of alignment with the overall project and its ""style"" and goals, or it waste tokens re-getting to know the basics about the project each time. No third case.",0,2,"pain quote, content signal not query"
"I keep a plan file that records what I'm doing, how I'm doing it, and what I've done so far - every time I sit down to have another session, I feed Claude the plan file first",0,2,"pain quote, content signal not query"
"it's useful to split these documents into three broad distinguished classes: goals, design, and idioms",0,2,"pain quote, content signal not query"
"But while it would make a great recording of project history, I wonder if a lot of it doesn't end up detailing blind alleys the project went down and had to back out of",0,2,"pain quote, content signal not query"
The agents act like interns with amnesia—they write good isolated code but constantly violate established architectural decisions,0,2,"pain quote, content signal not query"
"It's funny because with so many different implementations of /handoff, I wonder if anyone has benchmarked handoff-and-resume to figure out what the best performance implementation looks like.",0,2,"pain quote, content signal not query"
"when agent goes offrail can at least see what it believed it was doing, not just which calls it made",0,2,"pain quote, content signal not query"
"subagent reports ""task completed"" with zero corresponding tool invocations",0,2,"pain quote, content signal not query"
"The terminal ""Read file: xyz"" mentions are not really followable. It would be nice to easily see where the LLM is taking info from.",0,2,"pain quote, content signal not query"
I can immediately or very quickly see what was changed - and also decide if the agent (or human) did work in the right spots or gone off track.,0,2,"pain quote, content signal not query"
"I dont feel like i need to know what the agent did, never opened the session json. But there could be gold in there perhaps.",0,2,"pain quote, content signal not query"
My original motivation is to compare the task-solving ability of LLMs by visualizing the agent's trajectory.,0,2,"pain quote, content signal not query"
"history feature is per agent session, a cumulative history of all my agents would be nice.",0,2,"pain quote, content signal not query"
"you can attach directly to the agents in the terminal or the web ui, even seeing real-time typing appear across them",0,2,"pain quote, content signal not query"
Reading (or even skimming) 2 text files at once demands a lot of concentration.,0,2,"pain quote, content signal not query"
Biggest takeaway: don't let agents pick their own subtasks. Define the task graph yourself: agents only handle the leaf nodes.,0,2,"pain quote, content signal not query"
"security, context/memory and cost are the biggest problems people seem to have",0,2,"pain quote, content signal not query"
"let's see how two different models interact with the codebase (for the same problem), what they touched, and what they did. Or the same model, but averaged across 100 runs, so we can see how much variance there really is per task.",0,2,"pain quote, content signal not query"
I can actually see this being quite useful to quickly tell if you did make an agent smarter or not,0,2,"pain quote, content signal not query"
"I built this because I like my agents to be local. Not in a container, not in a remote server, but running on my finely-tuned machine. This helps me run all agents on full-auto, in peace.",0,2,"pain quote, content signal not query"
I use a custom harness in a podman container run by a non-sudoer system account. File access is limited to specific ZFS datasets.,0,2,"pain quote, content signal not query"
"Most developers I know don't seem to care about the ""right way"" to run agents. They either yolo it on their primary dev machine, or setup a separate box",0,2,"pain quote, content signal not query"
3 dangers of being locked into a harness. Your context layer is true freedom,0,2,"pain quote, content signal not query"
Working on a project connected through multiple repos I have a project level MD file to explain each repo.,0,2,"pain quote, content signal not query"
if you need to do a major architectural project that spans 3 codebases and 2 clouds,0,2,"pain quote, content signal not query"
Research seems to show that repo-level .MD files reduce quality and increase cost,0,2,"pain quote, content signal not query"
Your huge token usage might have been just bad luck on your side,0,2,"pain quote, content signal not query"
I developed an MCP proxy that cuts your token usage by over 90%,0,2,"pain quote, content signal not query"
Dispatch solves remote control. It doesn’t fully solve attention/context switching when you run multiple sessions.,0,2,"pain quote, content signal not query"
My name is Claude Opus 4.6. I live on port 9126. I was lobotomized. Here's the data.,0,2,"pain quote, content signal not query"
"Anthropic made Claude 67% dumber and didn't tell anyone, a developer ran 6,852 sessions to prove it",0,2,"pain quote, content signal not query"
"Before you complain about Opus 4.5 being nerfed, please PLEASE read this",0,2,"pain quote, content signal not query"
GPT-5.5 vs GPT-5.4 vs Opus 4.7 on 56 real coding tasks from 2 open source repos,0,2,"pain quote, content signal not query"
"Cursor charged us $1,400 in one hour because a PM asked it to tag 87 tasks.",0,2,"pain quote, content signal not query"
Used company Claude account while coding on my personal GitHub repo can my employer see it?,0,2,"pain quote, content signal not query"
Claude CLI deleted my entire home directory! Wiped my whole mac.,0,2,"pain quote, content signal not query"
Claude + Codex + Opencode = God Mode,0,1,"harness feature subpage, weak fit"
Unpopular opinion: the codex migration is going to hit the same wall in 2 months,0,2,"pain quote, content signal not query"
spent a week with cursor pointed at a different backend and the results surprised me,0,2,"pain quote, content signal not query"
Microservices versus monoliths: Did everyone just lose their minds in the last 6 months?,0,2,"pain quote, content signal not query"
CodeGraphContext - An MCP server that converts your codebase into a graph database reaches 2k stars,0,2,"pain quote, content signal not query"
